Place,Month,Users,Gender,Alcohol,Result
DUBLIN,September,Car,male,yes,Injured
MAYO,April,Car,male,no,Injured
CARLOW,May,Car,male,no,Injured
DUBLIN,July,Car,male,yes,Injured
CORK,May,Car,male,yes,Injured
CORK,June,Car,male,no,Injured
DONEGAL,August,Pedestrians,female,no,Injured
DUBLIN,April,Car,male,no,Injured
DUBLIN,November,Cyclists,male,no,Injured
KERRY,December,Cyclists,male,no,Injured
DUBLIN,June,Car,female,no,Injured
LONGFORD,March,Car,male,no,Injured
DONEGAL,September,Cyclists,male,no,Injured
TIPPERARY,September,Motorbike,female,no,Killed
CAVAN,November,Car,female,no,Injured
LIMERICK COUNTY,November,Pedestrians,female,yes,Injured
DUBLIN,November,Car,male,yes,Injured
KILDARE,June,Car,male,no,Injured
CORK,April,Car,female,yes,Injured
DONEGAL,November,Car,female,no,Injured
MONAGHAN,May,Car,male,yes,Injured
WEXFORD,July,Pedestrians,male,no,Injured
DUBLIN,August,Car,female,no,Injured
LOUTH,February,Pedestrians,male,yes,Injured
TIPPERARY,May,Pedestrians,female,yes,Injured
WATERFORD,July,Car,female,yes,Injured
CORK,October,Car,male,no,Injured
CLARE,March,Car,female,no,Injured
CORK,January,Motorbike,male,no,Injured
TIPPERARY,December,Cyclists,female,no,Injured
CORK,July,Car,male,no,Injured
DUBLIN,January,Car,female,yes,Injured
WEXFORD,February,Cyclists,female,yes,Injured
KERRY,April,Cyclists,female,no,Injured
LOUTH,March,Car,female,no,Injured
DUBLIN,October,Car,male,no,Injured
LONGFORD,October,Car,female,no,Injured
ROSCOMMON,December,Pedestrians,male,no,Injured
CAVAN,July,Pedestrians,female,yes,Injured
MEATH,July,Car,female,no,Injured
WICKLOW,July,Pedestrians,male,yes,Injured
MAYO,October,Pedestrians,male,yes,Injured
DUBLIN,September,Car,male,no,Injured
MEATH,November,Car,female,no,Injured
CORK,October,Car,female,yes,Injured
DUBLIN,October,Cyclists,male,no,Injured
WATERFORD,August,Cyclists,male,yes,Injured
DUBLIN,October,Car,female,no,Injured
DUBLIN,February,Car,female,no,Injured
CORK,August,Car,male,yes,Injured
CAVAN,August,Car,female,no,Injured
LIMERICK COUNTY,June,Car,male,no,Injured
DONEGAL,March,Car,female,yes,Injured
DUBLIN,April,Car,female,yes,Injured
GALWAY,December,Car,female,no,Injured
CLARE,August,Car,male,yes,Injured
KILDARE,July,Car,female,no,Injured
CORK,February,Car,male,no,Injured
KILDARE,December,Cyclists,female,yes,Injured
LOUTH,June,Car,female,no,Injured
CORK,August,Cyclists,male,no,Injured
DUBLIN,February,Car,male,yes,Injured
LOUTH,April,Car,female,no,Injured
DUBLIN,July,Pedestrians,male,yes,Injured
CLARE,October,Car,male,no,Injured
KERRY,August,Cyclists,female,yes,Injured
LIMERICK COUNTY,January,Pedestrians,male,yes,Injured
KERRY,February,Car,female,no,Injured
WEXFORD,June,Motorbike,female,no,Injured
KILDARE,January,Car,female,no,Injured
WATERFORD,December,Car,female,no,Injured
CORK,August,Pedestrians,female,no,Injured
CORK,March,Car,male,yes,Injured
OFFALY,August,Cyclists,male,yes,Injured
DUBLIN,May,Car,male,no,Injured
CORK,September,Cyclists,male,no,Injured
WESTMEATH,July,Car,male,no,Injured
DUBLIN,June,Car,male,yes,Injured
MEATH,February,Car,male,no,Injured
MAYO,December,Pedestrians,male,yes,Injured
TIPPERARY,August,Pedestrians,male,yes,Injured
LAOIS,October,Pedestrians,female,yes,Injured
MEATH,February,Car,female,yes,Injured
DUBLIN,March,Pedestrians,female,no,Injured
DUBLIN,July,Pedestrians,female,no,Injured
WATERFORD,July,Car,male,yes,Injured
DUBLIN,January,Pedestrians,female,no,Injured
WEXFORD,November,Motorbike,male,no,Injured
LIMERICK COUNTY,June,Car,male,no,Injured
LAOIS,August,Pedestrians,female,no,Injured
CORK,March,Car,male,no,Injured
WEXFORD,February,Car,male,yes,Injured
DUBLIN,October,Cyclists,male,yes,Injured
KILDARE,April,Cyclists,female,no,Injured
DUBLIN,August,Pedestrians,male,no,Injured
DUBLIN,October,Pedestrians,female,yes,Injured
WATERFORD,October,Cyclists,male,yes,Injured
KILDARE,December,Pedestrians,female,yes,Injured
CARLOW,June,Car,male,no,Injured
LAOIS,March,Car,female,yes,Injured
DUBLIN,May,Car,male,no,Injured
KERRY,December,Car,female,yes,Injured
TIPPERARY,August,Car,male,no,Injured
DUBLIN,October,Car,male,no,Injured
WATERFORD,November,Car,female,no,Injured
LAOIS,August,Motorbike,female,no,Killed
CAVAN,September,Car,male,yes,Killed
WESTMEATH,July,Car,female,yes,Killed
LONGFORD,July,Car,male,no,Injured
WICKLOW,September,Car,male,no,Injured
CORK,April,Car,female,no,Injured
CORK,November,Cyclists,male,no,Injured
WESTMEATH,April,Car,male,yes,Injured
LOUTH,October,Car,female,yes,Injured
CORK,May,Cyclists,female,no,Injured
MEATH,December,Car,male,no,Injured
MEATH,July,Motorbike,female,no,Injured
WESTMEATH,May,Car,male,yes,Injured
LOUTH,September,Car,male,yes,Injured
CORK,October,Car,male,yes,Injured
CAVAN,June,Cyclists,female,no,Injured
CAVAN,December,Car,female,no,Injured
CAVAN,December,Car,male,no,Injured
DUBLIN,July,Cyclists,male,yes,Injured
TIPPERARY,November,Pedestrians,female,yes,Injured
KERRY,August,Car,male,no,Injured
KILDARE,September,Car,female,no,Injured
SLIGO,February,Car,female,no,Injured
CORK,December,Cyclists,female,yes,Injured
DUBLIN,September,Cyclists,male,no,Killed
KILDARE,July,Motorbike,male,no,Injured
WICKLOW,March,Pedestrians,male,no,Injured
KILDARE,June,Cyclists,female,yes,Injured
CAVAN,November,Car,male,no,Injured
MONAGHAN,January,Car,male,no,Injured
DUBLIN,July,Car,female,no,Injured
OFFALY,January,Car,male,yes,Injured
DUBLIN,September,Car,male,yes,Injured
TIPPERARY,October,Car,female,no,Injured
MAYO,March,Cyclists,male,yes,Injured
KILDARE,January,Cyclists,female,no,Injured
CORK,May,Pedestrians,female,yes,Injured
CORK,January,Cyclists,male,no,Injured
CORK,November,Cyclists,female,yes,Injured
CLARE,August,Pedestrians,male,no,Injured
CORK,April,Cyclists,female,no,Injured
DUBLIN,April,Car,male,no,Injured
LOUTH,February,Car,male,no,Injured
KILDARE,April,Car,male,no,Injured
CARLOW,November,Motorbike,male,yes,Injured
CORK,July,Car,female,no,Injured
WEXFORD,February,Car,male,yes,Injured
KILDARE,January,Car,female,no,Injured
DONEGAL,September,Car,male,no,Injured
DUBLIN,November,Car,female,yes,Injured
MAYO,June,Car,male,yes,Injured
DONEGAL,October,Car,female,no,Injured
KILDARE,May,Cyclists,male,yes,Injured
WICKLOW,July,Cyclists,male,yes,Injured
SLIGO,March,Car,female,yes,Injured
DUBLIN,February,Cyclists,male,no,Injured
GALWAY,August,Car,male,yes,Injured
LAOIS,November,Cyclists,male,yes,Injured
ROSCOMMON,June,Car,male,no,Injured
CORK,December,Motorbike,male,yes,Injured
CAVAN,March,Car,female,no,Injured
CORK,December,Cyclists,female,no,Injured
GALWAY,March,Car,male,no,Injured
KILKENNY,March,Cyclists,male,yes,Injured
KILDARE,June,Car,male,yes,Injured
DUBLIN,December,Car,male,yes,Injured
WICKLOW,December,Pedestrians,male,no,Injured
KILDARE,April,Pedestrians,female,yes,Injured
DUBLIN,November,Car,male,no,Injured
KILDARE,April,Car,male,yes,Killed
MAYO,October,Car,male,no,Injured
LIMERICK COUNTY,January,Car,male,no,Injured
DUBLIN,December,Car,female,yes,Injured
CORK,December,Car,male,no,Injured
DUBLIN,April,Car,male,yes,Injured
LAOIS,December,Car,male,no,Injured
DONEGAL,December,Car,male,yes,Injured
MEATH,May,Car,female,no,Injured
CORK,June,Car,male,yes,Injured
DUBLIN,June,Car,male,no,Injured
OFFALY,January,Car,male,no,Injured
